Job Title,Company,Location,Salary,Job Type,Experience Required,Nom du pays
Project Manager I / II,GTI Energy,"Des Plaines, IL 60018",90000.0,Full-time,0,Chicago
Project Manager,Unknown,"Chicago, IL",65000.0,Full-time,0,Chicago
INTERDISCIPLINARY (Project Management Specialist),U.S. Army Corps of Engineers,"Chicago, IL",49025.0,Unknown,0,Chicago
Project Specialist,Unknown,"101 North Wacker Drive, Chicago, IL 60606",0.0,Unknown,0,Chicago
Agile Product Owner,FIS Global,"Chicago, IL 60666",110330.0,Full-time,0,Chicago
Business Project Manager-1,Realign LLC,"Chicago, IL",0.0,Contract,0,Chicago
Sales Training and Performance Project Manager,LCS,"Chicago, IL",83200.0,Full-time,0,Chicago
Associate Project Manager,access2insight,"Chicago, IL",0.0,Full-time,0,Chicago
"Strategic Program Manager, International CMS",Incora,"Northlake, IL",0.0,Full-time,0,Chicago
AI Engineer,The Scotts Miracle-Gro Company,"14111 Scottslawn Rd, Marysville, OH 43040",108300.0,Full-time,0,London
"Solutions Engineer, EMEA",Kandji,"London, OH",0.0,Full-time,0,London
Senior Machine Learning Engineer,Central Mutual Insurance Company,"6620 Mooney Street, Dublin, OH 43017",0.0,Full-time,2,London
Associate Applications Developer,The Ohio State University,"2015 Neil Avenue, Columbus, OH 43210",0.0,Full-time,0,London
Data Engineer,Unknown,"Columbus, OH",0.0,Unknown,0,London
Software Engineer - Python - Ubuntu Pro client - graduate level,Test Board,"Columbus, OH",0.0,Unknown,0,London
UiPath Robotics Process Automation (RPA) Developer,TRA'BIAN ENTERPRISES,"Columbus, OH",0.0,Contract,0,London
Sales Engineer - Midwest,Axonius,"Columbus, OH",230000.0,Unknown,0,London
Site Reliability Engineer - Platform Data Engineering,Compile,"Columbus, OH",105500.0,Unknown,0,London
Staff Software Engineer,"Applied Research Associates, Inc","Columbus, OH 43212",0.0,Full-time,0,London
Solutions Engineer III,Capital Group Companies,"London, OH",0.0,Full-time,0,London
Engineer II - M2 Engine/ISO 8583,Bread Financial,"Columbus, OH",120500.0,Full-time,0,London
Product Engineer,Intelligent Waves LLC,"Columbus, OH",0.0,Full-time,0,London
Advanced AI Research Engineer,Accenture,"Columbus, OH",0.0,Full-time,0,London
Robotics Automation Developer (RPA / RDA),StaidLogic,"Columbus, OH",0.0,Full-time,0,London
UIPath RPABOT Developer,TRA'BIAN ENTERPRISES,"Columbus, OH",0.0,Contract,0,London
Product Engineer,Intelligent Waves LLC,"Columbus, OH",0.0,Full-time,0,London
Advanced AI Research Engineer,Accenture,"Columbus, OH",0.0,Full-time,0,London
Industrial Cloud Platform Engineer - Industry 4.0,Hexion Inc.,"Columbus, OH",0.0,Unknown,0,London
Lead Data Engineer,g2o,"Columbus, OH",0.0,Unknown,0,London
Automotive Infotainment Development Engineer,Lumenance,"Marysville, OH",0.0,Full-time,0,London
IBM Watson Consultant,TRA'BIAN ENTERPRISES,"Columbus, OH",0.0,Temp-to-hire,0,London
Cloud Engineer,SDH Systems,"Dublin, OH 43017",84219.0,Full-time,0,London
Computational Systems Biologist/Engineer,Battelle,"Columbus, OH",0.0,Full-time,0,London
Sr. Robotics Process Automation Developers,KK Software Associates,"Dublin, OH",0.0,Unknown,0,London
Automation Developers,KK Software Associates,"Dublin, OH",0.0,Unknown,0,London
Systems Engineer,RoviSys Building Technologies,"4789 Rings Road, Dublin, OH 43017",0.0,Full-time,0,London
Senior Advanced AI Research Engineer,Accenture,"Columbus, OH",0.0,Full-time,0,London
Architect I,Medical Mutual of Ohio,"545 Metro Place South, Dublin, OH 43017",0.0,Full-time,0,London
AI & GenAI Data Scientist-Manager,PRICE WATERHOUSE COOPERS,"41 South High Street, 25th Floor, Columbus, OH 43215",100000.0,Unknown,0,London
Senior Advanced AI Research Engineer,Accenture,"Columbus, OH",0.0,Full-time,0,London
ASG Rochade Integration Engineer,Intone Networks,"Columbus, OH",0.0,Contract,0,London
"Open Rank, Professor of Practice - Computer Science and Engineering,",The Ohio State University,"2015 Neil Avenue, Columbus, OH 43210",0.0,Full-time,0,London
AI Solution Architect,Deloitte,"Columbus, OH",167325.0,Full-time,0,London
AI & GenAI Data Scientist-Senior Associate,PRICE WATERHOUSE COOPERS,"41 South High Street, 25th Floor, Columbus, OH 43215",84000.0,Unknown,0,London
Product Specialist 5,TRA'BIAN ENTERPRISES,"Columbus, OH",0.0,Contract,0,London
"Senior Analyst, Data Engineering",The Scotts Miracle-Gro Company,"14111 Scottslawn Rd, Marysville, OH 43040",108300.0,Full-time,0,London
Mid-Level Systems Engineer,Battelle,"505 King Avenue, Columbus, OH 43201",0.0,Full-time,0,London
Senior Engineer - AIMS,The Ohio State University,"1314 Kinnear Road, Columbus, OH 43212",0.0,Full-time,4,London
AI Architect - Data,Accenture,"Columbus, OH",0.0,Full-time,0,London
Data Engineer- Manager,PRICE WATERHOUSE COOPERS,"41 South High Street, 25th Floor, Columbus, OH 43215",100000.0,Unknown,0,London
Data Center Engineering Operations Technician,"Amazon Data Services, Inc. - A19","Hilliard, OH",0.0,Full-time,0,London
"Critical Facilities Electrical Field Engineer, Data Center Field Engineering","Amazon Data Services, Inc.","Columbus, OH",0.0,Full-time,0,London
AI/ML Data Engineering Lead (Specialist Master) - SFL Scientific,Deloitte,"Columbus, OH",151800.0,Full-time,0,London
Software Sales,"Vantagepoint ai, LLC","Columbus, OH",100000.0,Full-time,0,London
Data Scientist,NYC HOUSING AUTHORITY,"Manhattan, NY",75000.0,Full-time,0,New_York
Data Science Associate,JPMorganChase,"383 Madison Ave, New York, NY 10179",104500.0,Full-time,0,New_York
Data Scientist,Moody's,"250 Greenwich Street, New York, NY 10007",106600.0,Full-time,0,New_York
Data Scientist,CDC Foundation,"New York, NY",92700.0,Full-time,0,New_York
"Data Scientist, Product Analytics",Meta,"New York, NY",114000.0,Unknown,0,New_York
Data Scientist,Saks,"New York, NY 10281",100000.0,Full-time,0,New_York
Machine Learning Scientist,Genentech,"New York, NY 10001",144900.0,Full-time,0,New_York
"Staff Data Scientist, Product",Google,"New York, NY",0.0,Full-time,0,New_York
"Staff Data Scientist, Product, Search",Google,"New York, NY",0.0,Full-time,0,New_York
"Senior Data Scientist, Research, Ads",Google,"New York, NY",0.0,Full-time,0,New_York
Data Scientist (Remote or Hybrid),Council of State Governments,New York State,72500.0,Full-time,0,New_York
Data Scientist-Healthcare Analytics,Staffing Solutions Organization LLC,"Albany, NY 12210",78000.0,Full-time,0,New_York
"Business Intelligence Engineer, Ads Marketing Decision Science",Amazon Advertising LLC,"New York, NY",89600.0,Full-time,0,New_York
IS Data Scientist,American Arbitration Association Inc.,"120 Broadway, New York, NY 10271",130000.0,Full-time,0,New_York
Associate Value Engineer (Data Scientist & Management Consultant) - Orbit Program,Celonis SE,"New York, NY",90000.0,Full-time,0,New_York
Senior Data Scientist,Canoe Intelligence,"New York, NY 10013",140000.0,Unknown,0,New_York
"Data Scientist, Financial Crimes - USDS",TikTok,"New York, NY",98800.0,Unknown,0,New_York
Data Scientist II - Product Owner,Bank of America,"New York, NY",125000.0,Full-time,0,New_York
Staff Data Scientist - NY,Aircall,"New York, NY",140000.0,Full-time,0,New_York
"Senior Data Scientist, Research, Ads Metrics",Google,"New York, NY",0.0,Full-time,0,New_York
Senior Data Scientist,Prospect 33,"New York, NY",180000.0,Full-time,0,New_York
"Data Scientist, Demand Forecasting",Amazon.com Services LLC,"New York, NY",125500.0,Full-time,0,New_York
Data Scientist,Octaura,"New York, NY",150000.0,Full-time,0,New_York
"Staff Data Scientist, Product, Search",Google,"New York, NY",0.0,Full-time,0,New_York
Sr Machine Learning Scientist - (Open to remote),Penguin Random House LLC,"New York, NY 10019",150000.0,Full-time,0,New_York
Machine Learning Scientist,Genentech,"New York, NY 10001",144900.0,Full-time,0,New_York
Associate Value Engineer (Data Scientist & Management Consultant) - Orbit Program,Celonis SE,"New York, NY",90000.0,Full-time,0,New_York
Staff Data Scientist,Human Security,"New York, NY",165000.0,Full-time,0,New_York
Research Scientist - NLP,S&P Global,"New York, NY 10041",150000.0,Unknown,0,New_York
Junior Consultant in Strategy & Data Science | New York | Jan 2025,Ekimetrics,"New York, NY",75000.0,Full-time,0,New_York
"Generative AI Scientist, Associate (New York, NY)",Goldman Sachs,"200 West Street, New York, NY 10282",115000.0,Part-time,0,New_York
Data Scientist,NYC HOUSING AUTHORITY,"Manhattan, NY",75000.0,Full-time,0,New_York
Sr Machine Learning Scientist - (Open to remote),Penguin Random House LLC,"New York, NY 10019",150000.0,Full-time,0,New_York
Data Scientist,Saks,"New York, NY 10281",100000.0,Full-time,0,New_York
Machine Learning Engineer (Early Career),Accrete.AI,"New York, NY",90000.0,Full-time,0,New_York
Machine Learning Compiler Engineer,Qualcomm,"New York, NY",133000.0,Unknown,0,New_York
Data Scientist I,University of Rochester,"Rochester, NY",60431.0,Full-time,0,New_York
Data Science Analyst,Greater New York Mutual Insurance Company,"200 Madison Avenue, Manhattan, NY 10016",70200.0,Unknown,0,New_York
Data Scientist-Healthcare Analytics,Staffing Solutions Organization LLC,"Albany, NY 12210",78000.0,Full-time,0,New_York
Machine Learning Scientist,Genentech,"New York, NY 10001",144900.0,Full-time,0,New_York
"Applied AI Engineer, Associate",BlackRock Investments,"New York, NY",132500.0,Unknown,0,New_York
Machine Learning Developer,"D. E. Shaw & Co., L.P.","New York, NY",250000.0,Full-time,0,New_York
"Data Scientist, Ads Sales Analytics",Apple,"New York, NY",136300.0,Unknown,0,New_York
Data Science Senior Advisor- Hybrid,The Cigna Group,"New York, NY 10017",121400.0,Full-time,0,New_York
Lead Data Scientist ML - Forecasting,CVS Health,"Albany, NY 12207",118450.0,Full-time,0,New_York
Machine Learning Engineer Graduate (Search Ads) - 2025 Start (BS/MS),TikTok,"San Jose, CA",113500.0,Unknown,0,San_Francisco
Machine Learning Engineer,Goliath Partners,"San Francisco, CA",200000.0,Unknown,0,San_Francisco
Machine Learning Researcher,Kiddom,"San Francisco, CA",130000.0,Full-time,0,San_Francisco
Software Engineer 1 - Machine Learning,Abacus.AI,"San Francisco, CA",0.0,Unknown,0,San_Francisco
"Machine Learning Engineer, GenAI Search",Moveworks.ai,"Mountain View, CA",120000.0,Full-time,0,San_Francisco
Data Scientist,BICP,"San Francisco, CA",0.0,Unknown,0,San_Francisco
"Machine Learning Engineer, Training",Waymo,"Mountain View, CA",158000.0,Full-time,0,San_Francisco
Machine Learning Researcher,Apple,"Sunnyvale, CA",143100.0,Unknown,0,San_Francisco
Production Engineer (University Grad),Meta,"300 Airport Boulevard, Burlingame, CA 94010",117000.0,Unknown,0,San_Francisco
Prompt Engineer,LogicMonitor,"San Francisco Bay Area, CA",130900.0,Unknown,0,San_Francisco
Machine Learning Engineer,Headway Technologies Inc,"595 Yosemite Dr, Milpitas, CA 95035",96655.0,Full-time,0,San_Francisco
Machine Learning Research Engineer,Video.io,"San Francisco, CA",0.0,Unknown,0,San_Francisco
"Machine Learning Engineer, Search Recommendation",TikTok,"San Jose, CA",112000.0,Unknown,0,San_Francisco
Machine Learning Engineer,Qualcomm,"Santa Clara, CA",181000.0,Unknown,0,San_Francisco
"AIML - Machine Learning Engineer, Siri Perception",Apple,"San Francisco, CA",143100.0,Unknown,0,San_Francisco
Machine Learning Engineer,Qualcomm,"Santa Clara, CA",181000.0,Unknown,0,San_Francisco
Product Support Data Scientist,Apple,"Sunnyvale, CA",136300.0,Full-time,3,San_Francisco
Machine Learning Research Engineer,Video.io,"San Francisco, CA",0.0,Unknown,0,San_Francisco
"Software Dev Engineer - Machine Learning Apps, Accelerator, Annapurna ML",Annapurna Labs (U.S.) Inc.,"Cupertino, CA",99500.0,Full-time,0,San_Francisco
Computer Vision/Machine Learning Engineer,KLA,"Milpitas, CA",124100.0,Full-time,0,San_Francisco
LLM Research Scientist Graduate (eCommerce Recommendation)- 2025 Start (MS),TikTok,"San Jose, CA",113500.0,Unknown,0,San_Francisco
Machine Learning Researcher,Apple,"Sunnyvale, CA",143100.0,Unknown,0,San_Francisco
Software Engineer - Machine Learning,SLAC National Accelerator Laboratory,"2575 Sand Hill Rd, Menlo Park, CA 94025",116000.0,Temporary,1,San_Francisco
SoC Machine Learning Design Engineer,Apple,"Cupertino, CA",121900.0,Unknown,0,San_Francisco
Machine Learning Engineer Graduate (On-Device AI) - 2025 Start (PhD),TikTok,"San Jose, CA",136800.0,Unknown,1,San_Francisco
2025 University Graduate - Research Scientist/Engineer,Adobe,"601 Townsend Street, San Francisco, CA 94103",120700.0,Full-time,0,San_Francisco
Data Scientist / ML Engineer,Paradyme Management,"1400 Seaport Blvd Ste 200a, Redwood City, CA 94063",123000.0,Full-time,0,San_Francisco
Machine Learning Engineer - Content Growth,TikTok,"San Jose, CA",126000.0,Unknown,0,San_Francisco
Staff Machine Learning Compiler Engineer,Rivian,"607 Hansen Way, Palo Alto, CA 94304",206500.0,Full-time,0,San_Francisco
"Machine Learning Engineer, On-Device ML",Grammarly,"San Francisco, CA",337000.0,Unknown,0,San_Francisco
Applied AI Research Scientist - Reinforcement Learning,Meta,"1 Hacker Way, Menlo Park, CA 94025",147000.0,Unknown,0,San_Francisco
Staff Machine Learning Compiler Engineer,Rivian,"607 Hansen Way, Palo Alto, CA 94304",206500.0,Full-time,0,San_Francisco
"Research Engineer, LLM",Anyscale,"San Francisco, CA",170112.0,Full-time,4,San_Francisco
"Machine Learning Engineer, On-Device ML",Grammarly,"San Francisco, CA",337000.0,Unknown,0,San_Francisco
"Research Scientist, Multimodal Machine Learning - Trust and Safety",TikTok,"San Jose, CA",145000.0,Unknown,3,San_Francisco
AI Engineer Robotics,BayOne,"4637 Chabot Dr Ste 250, Pleasanton, CA 94588",100000.0,Unknown,0,San_Francisco
"Machine Learning Engineer, Tapestry",Loon,"Mountain View, CA",160000.0,Full-time,0,San_Francisco
"Machine Learning Engineer, Trust and Safety - USDS",TikTok,"Mountain View, CA 94041",145000.0,Unknown,0,San_Francisco
"Software Dev Engineer - AI/ML, AWS Neuron Distributed Training",Amazon.com Services LLC,"Cupertino, CA",99500.0,Full-time,0,San_Francisco
Algorithm Engineer (Deep Learning/C++)(E),KLA,"Milpitas, CA",100100.0,Full-time,0,San_Francisco
Hewlett Packard Labs - Scientific Machine Learning Research Engineer,Hewlett Packard Enterprise,"Milpitas, CA 95035",117500.0,Full-time,0,San_Francisco
Machine Learning Engineer,Orbital Sidekick,"San Francisco, CA",100000.0,Full-time,0,San_Francisco
Machine Learning Algorithm Validation Engineer,Apple,"Cupertino, CA",136300.0,Unknown,0,San_Francisco
ML Engineer,Delart,"Sunnyvale, CA",0.0,Unknown,0,San_Francisco
"Machine Learning Engineer, Early Stage Project",Loon,"Mountain View, CA",160000.0,Full-time,0,San_Francisco
